Client_ID,Company_Name,Industry,Region,Plan,Lead_Source,Account_Age_Months,Contract_Length_Months,Monthly_Usage_Score,Support_Tickets_Last30Days,Payment_Delay_Days,Monthly_Revenue_USD,Last_Renewal_Date,Churn_Probability,Risk_Category,Renewal_Status
CL01356,Omni Solutions,Telecom,Central,Basic,Marketplace,21,3,36.3,5,16,1136.05,2026-01-05,0.42,High,Yes
CL01357,Crest Services,Energy,East,Basic,Referral,31,6,20.7,4,11,1303.1,2024-07-18,0.599,High,Yes
CL01358,Crest Labs,Retail,South,Enterprise,Inbound,9,24,58.1,4,9,8350.91,2024-11-13,0.075,Low,Yes
CL01359,Vertex Industries,Manufacturing,Central,Premium,Outbound,19,12,86.2,4,45,4430.08,2024-07-11,0.204,Medium,Yes
CL01360,Pioneer Logistics,Finance,West,Premium,Event,6,36,58.5,6,18,3295.62,2024-09-04,0.087,Low,Yes
CL01361,Vertex Manufacturing,Energy,North,Premium,Outbound,7,24,68.3,9,26,4453.47,2024-12-09,0.301,Medium,Yes
CL01362,Vertex Industries,Manufacturing,South,Standard,Outbound,45,12,53.0,6,13,3080.37,2025-07-19,0.199,Medium,Yes
CL01363,Nova Technologies,Logistics,South,Premium,Event,12,12,31.7,12,5,3719.37,2025-10-11,0.64,High,No
CL01364,Blue Services,Logistics,South,Standard,Outbound,7,12,74.5,5,3,1974.94,2024-04-09,0.11,Low,Yes
CL01365,Sky Solutions,Education,South,Standard,Referral,19,12,56.2,6,5,1828.63,2025-10-14,0.339,Medium,Yes
CL01366,Pioneer Systems,IT Services,East,Premium,Inbound,17,12,58.8,8,30,4262.86,2025-09-27,0.467,High,No
CL01367,Apex Logistics,Logistics,South,Standard,Inbound,8,12,52.7,12,29,3160.1,2024-06-04,0.595,High,No
CL01368,Omni Technologies,Energy,North,Enterprise,Outbound,14,36,57.2,4,25,6112.15,2024-09-14,0.09,Low,No
CL01369,Pioneer Networks,Manufacturing,East,Standard,Inbound,34,12,72.9,3,15,1868.68,2024-04-28,0.088,Low,Yes
CL01370,Sky Manufacturing,Manufacturing,West,Enterprise,Referral,11,24,62.1,6,19,4886.38,2025-02-14,0.211,Medium,No
CL01371,Vertex Enterprises,Construction,West,Enterprise,Inbound,55,24,62.7,7,12,9967.68,2026-02-03,0.05,Low,No
CL01372,Blue Enterprises,Manufacturing,South,Standard,Partner,30,24,42.2,7,26,2512.29,2025-11-27,0.434,High,Yes
CL01373,Pioneer Industries,Telecom,Central,Premium,Inbound,39,12,68.0,8,8,3389.18,2025-11-26,0.145,Low,Yes
CL01374,Nova Manufacturing,Retail,Central,Standard,Inbound,23,6,66.4,4,18,2190.67,2024-05-29,0.221,Medium,Yes
CL01375,Crest Labs,Manufacturing,North,Enterprise,Referral,29,36,94.5,5,18,8940.35,2025-12-15,0.024,Low,Yes
CL01376,Quantum Services,Telecom,North,Standard,Outbound,23,12,50.2,6,38,3060.97,2024-03-12,0.508,High,Yes
CL01377,Orion Industries,Retail,West,Premium,Referral,11,12,66.5,3,34,5139.93,2025-09-05,0.188,Medium,Yes
CL01378,Omni Technologies,Finance,West,Standard,Inbound,13,12,55.0,18,11,1840.83,2024-10-02,0.614,High,Yes
CL01379,Omni Industries,Healthcare,Central,Standard,Inbound,37,12,40.2,6,20,3285.33,2025-02-27,0.379,High,No
CL01380,Green Networks,Finance,Central,Basic,Marketplace,26,12,68.1,4,25,903.24,2025-08-15,0.41,High,Yes
CL01381,Omni Services,Manufacturing,East,Standard,Referral,5,6,67.4,6,13,3106.42,2025-06-13,0.384,High,No
CL01382,Prime Industries,Healthcare,East,Premium,Inbound,45,24,66.3,2,24,5302.2,2024-10-28,0.096,Low,Yes
CL01383,Apex Enterprises,Construction,North,Premium,Inbound,13,12,78.0,3,6,6874.69,2025-10-15,0.051,Low,Yes
CL01384,Crest Healthcare,Manufacturing,South,Premium,Inbound,24,24,77.5,3,24,3686.52,2025-06-17,0.113,Low,Yes
CL01385,Nova Holdings,Logistics,South,Standard,Event,13,12,54.0,6,26,1954.55,2025-11-03,0.43,High,No
CL01386,Prime Networks,Healthcare,East,Standard,Outbound,14,12,55.9,7,4,2711.58,2024-11-20,0.218,Medium,Yes
CL01387,Pioneer Logistics,Education,East,Basic,Referral,48,12,51.1,2,8,1063.17,2024-05-22,0.23,Medium,Yes
CL01388,Quantum Networks,IT Services,West,Premium,Partner,23,12,56.6,7,15,8039.33,2024-11-24,0.235,Medium,Yes
CL01389,Omni Logistics,Construction,South,Enterprise,Outbound,16,24,89.1,6,19,5216.98,2025-02-21,0.043,Low,Yes
CL01390,Sky Enterprises,Retail,East,Standard,Referral,5,6,47.3,5,14,1933.63,2024-06-11,0.61,High,No
CL01391,Vertex Solutions,Manufacturing,North,Basic,Outbound,30,6,54.3,8,38,935.33,2025-04-12,0.539,High,Yes
CL01392,Blue Systems,IT Services,South,Basic,Outbound,9,3,40.9,4,18,1505.57,2025-06-23,0.611,High,Yes
CL01393,Orion Networks,Manufacturing,West,Premium,Inbound,10,24,67.1,8,18,3630.39,2024-02-28,0.179,Low,Yes
CL01394,Pioneer Enterprises,Finance,West,Premium,Referral,32,24,65.6,5,2,5225.61,2025-04-07,0.062,Low,No
CL01395,Orion Systems,Healthcare,Central,Premium,Inbound,33,24,57.6,8,8,5025.12,2024-05-30,0.076,Low,Yes
CL01396,Apex Services,Telecom,South,Standard,Inbound,30,6,51.8,6,16,3075.5,2024-06-10,0.446,High,No
CL01397,Blue Enterprises,Retail,East,Premium,Inbound,41,24,78.5,4,30,3813.76,2024-11-28,0.079,Low,Yes
CL01398,Crest Manufacturing,Manufacturing,South,Premium,Marketplace,12,12,35.2,13,9,5009.58,2024-05-04,0.561,High,No
CL01399,Vertex Systems,Finance,South,Standard,Referral,10,24,39.1,10,19,2803.26,2025-04-19,0.316,Medium,Yes
CL01400,Crest Manufacturing,Logistics,West,Premium,Marketplace,37,24,56.3,7,3,3565.99,2025-08-18,0.062,Low,Yes
CL01401,Green Technologies,Manufacturing,West,Basic,Inbound,17,6,23.1,11,19,1075.31,2024-10-22,0.901,High,No
CL01402,Quantum Holdings,Manufacturing,Central,Standard,Partner,4,12,69.1,5,14,2245.58,2026-01-09,0.224,Medium,Yes
CL01403,Nova Technologies,IT Services,North,Enterprise,Inbound,38,12,93.1,3,12,13544.37,2025-07-29,0.022,Low,Yes
CL01404,Pioneer Solutions,Education,Central,Standard,Inbound,18,12,55.1,8,11,2056.76,2026-02-17,0.428,High,No
CL01405,Omni Systems,Logistics,North,Enterprise,Event,10,24,67.3,8,12,8293.69,2025-05-14,0.1,Low,Yes
CL01406,Sky Holdings,Retail,Central,Premium,Event,36,36,78.0,5,13,3677.09,2025-01-28,0.036,Low,Yes
CL01407,Vertex Industries,Telecom,South,Basic,Outbound,20,12,20.9,6,59,1025.65,2025-09-06,0.922,High,No
CL01408,Prime Technologies,Telecom,South,Premium,Referral,4,24,92.7,7,12,2973.42,2024-12-11,0.03,Low,Yes
CL01409,Vertex Networks,Finance,East,Standard,Inbound,28,24,45.8,3,19,2924.09,2024-02-27,0.238,Medium,Yes
CL01410,Prime Holdings,Telecom,Central,Standard,Marketplace,31,12,51.9,7,16,2108.03,2024-07-31,0.346,Medium,No
CL01411,Prime Healthcare,Manufacturing,North,Basic,Outbound,38,12,30.8,7,1,1346.41,2024-07-26,0.503,High,No
CL01412,Orion Healthcare,IT Services,South,Standard,Inbound,30,12,43.1,4,30,2637.0,2025-02-18,0.424,High,Yes
CL01413,Apex Enterprises,Manufacturing,West,Basic,Partner,13,6,59.1,9,20,1578.75,2025-07-30,0.491,High,No
CL01414,Pioneer Holdings,IT Services,South,Basic,Partner,14,6,50.5,2,19,1634.25,2025-04-08,0.543,High,No
CL01415,Orion Labs,Finance,North,Standard,Inbound,32,6,68.6,3,32,3285.62,2024-05-12,0.292,Medium,Yes
CL01416,Apex Manufacturing,Energy,South,Standard,Inbound,19,12,34.3,5,21,2011.28,2024-09-04,0.537,High,No
CL01417,Nova Networks,IT Services,South,Enterprise,Marketplace,12,12,80.2,5,15,5530.1,2024-06-05,0.11,Low,Yes
CL01418,Prime Systems,IT Services,Central,Standard,Inbound,28,24,62.3,7,17,3503.46,2024-04-25,0.124,Low,Yes
CL01419,Green Manufacturing,Retail,West,Premium,Partner,31,12,65.2,7,8,4070.22,2024-06-20,0.164,Low,Yes
CL01420,Quantum Services,Energy,East,Standard,Outbound,17,12,35.1,9,28,2450.61,2025-03-12,0.776,High,Yes
CL01421,Prime Services,Healthcare,Central,Premium,Partner,5,24,76.9,3,34,4030.91,2025-08-31,0.267,Medium,Yes
CL01422,Nova Manufacturing,Finance,South,Standard,Outbound,12,6,55.5,2,18,3205.91,2024-12-12,0.342,Medium,No
CL01423,Prime Holdings,IT Services,North,Enterprise,Outbound,28,24,66.5,6,12,12212.72,2024-07-22,0.098,Low,Yes
CL01424,Crest Labs,IT Services,South,Standard,Partner,25,12,33.7,3,13,2299.07,2025-01-06,0.466,High,Yes
CL01425,Vertex Systems,Construction,South,Enterprise,Inbound,10,24,76.3,7,1,4943.87,2024-10-24,0.066,Low,Yes
CL01426,Sky Systems,Construction,North,Standard,Partner,24,12,76.4,4,25,3371.08,2024-03-30,0.151,Low,Yes
CL01427,Sky Services,IT Services,Central,Basic,Outbound,29,6,28.8,3,38,1476.75,2025-12-31,0.721,High,Yes
CL01428,Crest Holdings,Construction,West,Premium,Inbound,24,12,61.0,12,4,4227.69,2024-03-05,0.236,Medium,Yes
CL01429,Green Services,Logistics,South,Basic,Inbound,7,6,51.3,6,3,622.09,2024-03-28,0.457,High,Yes
CL01430,Quantum Networks,Telecom,East,Standard,Inbound,24,12,39.8,1,23,2826.44,2024-10-03,0.341,Medium,Yes
CL01431,Quantum Manufacturing,Retail,West,Basic,Outbound,25,12,29.2,5,23,695.15,2025-09-16,0.556,High,No
CL01432,Vertex Labs,Finance,Central,Premium,Partner,15,36,55.7,3,6,4212.3,2025-02-17,0.065,Low,Yes
CL01433,Pioneer Healthcare,Retail,Central,Enterprise,Event,28,24,83.8,5,12,9323.22,2025-03-06,0.026,Low,Yes
CL01434,Nova Logistics,Logistics,East,Standard,Outbound,37,12,68.9,7,15,2548.43,2025-05-22,0.235,Medium,No
CL01435,Sky Logistics,IT Services,West,Premium,Outbound,51,12,69.9,5,11,5512.6,2024-03-27,0.069,Low,Yes
CL01436,Orion Holdings,IT Services,East,Standard,Partner,18,12,45.9,8,15,2305.7,2026-01-26,0.353,High,No
CL01437,Nova Healthcare,Healthcare,East,Standard,Partner,18,12,46.7,6,25,2004.77,2025-04-03,0.393,High,Yes
CL01438,Nova Industries,Logistics,North,Enterprise,Partner,22,36,67.4,8,18,7181.26,2025-10-20,0.067,Low,Yes
CL01439,Quantum Logistics,Manufacturing,North,Enterprise,Partner,34,24,61.3,19,8,8191.74,2025-01-05,0.249,Medium,Yes
CL01440,Vertex Healthcare,Logistics,East,Premium,Inbound,13,12,63.8,8,30,3562.95,2025-01-10,0.295,Medium,Yes
CL01441,Quantum Systems,Construction,South,Standard,Inbound,19,12,53.9,6,23,2105.44,2024-06-28,0.36,High,Yes
CL01442,Omni Holdings,IT Services,North,Premium,Outbound,21,12,73.9,8,35,4636.37,2024-11-15,0.329,Medium,Yes
CL01443,Quantum Networks,Logistics,West,Standard,Referral,26,12,52.9,8,19,2511.06,2024-07-10,0.413,High,Yes
CL01444,Nova Manufacturing,Retail,North,Standard,Partner,18,12,50.7,3,8,3908.66,2025-12-24,0.22,Medium,Yes
CL01445,Vertex Services,Telecom,East,Standard,Referral,27,12,54.0,10,22,2071.8,2024-10-23,0.568,High,No
CL01446,Crest Networks,Manufacturing,East,Enterprise,Marketplace,5,24,57.4,12,12,9827.7,2024-12-14,0.14,Low,Yes
CL01447,Nova Logistics,Logistics,Central,Enterprise,Event,30,48,76.9,2,29,7639.07,2024-06-03,0.011,Low,Yes
CL01448,Sky Industries,Telecom,East,Standard,Event,12,6,48.0,3,5,4229.94,2026-02-20,0.265,Medium,Yes
CL01449,Sky Systems,Construction,North,Basic,Marketplace,26,12,15.8,8,11,870.19,2025-04-19,0.826,High,Yes
CL01450,Quantum Technologies,Logistics,East,Enterprise,Inbound,15,24,79.4,4,6,7635.32,2025-04-21,0.05,Low,Yes
CL01451,Sky Healthcare,Retail,West,Basic,Event,9,12,27.7,4,29,1040.97,2024-06-12,0.876,High,No
CL01452,Apex Logistics,Finance,Central,Premium,Referral,14,24,68.7,3,20,2804.36,2025-07-06,0.11,Low,Yes
CL01453,Sky Manufacturing,Telecom,South,Basic,Referral,37,3,50.2,3,15,1350.57,2025-07-08,0.396,High,Yes
CL01454,Prime Services,Finance,South,Standard,Partner,25,24,42.6,7,9,2759.69,2025-12-18,0.413,High,Yes
CL01455,Apex Technologies,IT Services,Central,Enterprise,Referral,12,36,79.1,5,9,7503.06,2024-09-21,0.019,Low,Yes
CL01456,Prime Industries,Energy,North,Basic,Marketplace,4,3,12.3,9,19,764.3,2025-11-22,0.905,High,No
CL01457,Orion Labs,Logistics,East,Standard,Partner,20,6,71.4,2,27,2983.41,2025-01-15,0.166,Low,Yes
CL01458,Crest Solutions,Logistics,South,Standard,Partner,18,12,36.7,8,18,3611.42,2024-08-09,0.657,High,Yes
CL01459,Apex Technologies,Manufacturing,North,Enterprise,Outbound,6,36,66.8,6,10,10923.57,2025-06-23,0.057,Low,Yes
CL01460,Blue Services,Logistics,South,Enterprise,Partner,2,36,91.1,5,41,7897.63,2024-03-21,0.055,Low,Yes
CL01461,Nova Logistics,Healthcare,South,Standard,Referral,23,12,49.2,5,28,2434.59,2025-11-14,0.451,High,No
CL01462,Apex Solutions,Logistics,West,Basic,Event,17,6,23.6,8,33,1624.53,2024-04-14,0.884,High,No
CL01463,Sky Industries,IT Services,Central,Premium,Referral,23,24,76.6,5,5,6078.68,2024-12-14,0.027,Low,Yes
CL01464,Prime Technologies,Logistics,South,Standard,Partner,5,12,61.3,5,13,2468.17,2024-06-10,0.401,High,No
CL01465,Omni Systems,Construction,West,Premium,Outbound,10,12,51.4,8,19,3852.63,2025-02-04,0.373,High,Yes
CL01466,Pioneer Services,IT Services,North,Basic,Referral,15,12,34.7,9,21,1553.96,2026-01-25,0.75,High,No
CL01467,Pioneer Technologies,Construction,East,Basic,Inbound,17,3,26.8,6,9,1158.8,2024-06-10,0.697,High,No
CL01468,Blue Technologies,Retail,North,Premium,Referral,16,12,59.5,8,7,5582.81,2024-05-15,0.214,Medium,Yes
CL01469,Sky Technologies,Telecom,Central,Basic,Partner,43,6,17.3,12,28,1544.06,2024-07-20,0.881,High,No
CL01470,Green Solutions,Education,West,Enterprise,Outbound,17,24,67.8,7,3,8372.96,2026-01-12,0.074,Low,Yes
CL01471,Pioneer Manufacturing,Finance,East,Basic,Outbound,8,3,60.4,4,27,1667.53,2024-09-19,0.619,High,Yes
CL01472,Quantum Systems,Education,West,Basic,Inbound,29,3,22.2,12,22,1020.3,2025-05-15,0.875,High,No
CL01473,Pioneer Holdings,Telecom,East,Enterprise,Outbound,33,36,70.0,4,1,13801.62,2024-09-24,0.016,Low,Yes
CL01474,Nova Systems,Retail,Central,Standard,Outbound,52,24,35.8,6,7,2166.17,2025-08-05,0.171,Low,Yes
CL01475,Quantum Technologies,Healthcare,West,Premium,Event,21,24,71.3,7,10,4093.43,2025-06-01,0.064,Low,Yes
CL01476,Quantum Systems,Logistics,Central,Basic,Referral,13,6,52.4,4,31,1121.26,2026-01-27,0.639,High,No
CL01477,Orion Labs,Telecom,East,Premium,Referral,47,12,81.2,2,11,7234.49,2024-10-24,0.065,Low,Yes
CL01478,Apex Industries,Education,North,Premium,Outbound,23,12,45.0,8,4,2350.1,2024-10-12,0.357,High,Yes
CL01479,Prime Networks,Education,East,Standard,Inbound,5,6,54.0,1,19,1778.23,2025-09-17,0.361,High,No
CL01480,Pioneer Services,Retail,North,Enterprise,Inbound,22,24,89.2,2,3,9372.73,2024-06-21,0.03,Low,Yes
CL01481,Quantum Technologies,Telecom,East,Premium,Outbound,41,24,73.1,5,8,4898.94,2025-08-11,0.034,Low,Yes
CL01482,Quantum Technologies,IT Services,East,Standard,Partner,20,6,61.7,2,12,2852.9,2025-09-12,0.222,Medium,Yes
CL01483,Vertex Labs,Finance,East,Premium,Referral,29,12,60.3,12,17,5396.56,2025-11-14,0.468,High,Yes
CL01484,Sky Holdings,IT Services,North,Premium,Inbound,44,24,70.6,6,4,5980.33,2025-07-14,0.027,Low,Yes
CL01485,Omni Enterprises,Healthcare,North,Basic,Inbound,26,12,51.8,5,13,1336.6,2024-06-27,0.327,Medium,Yes
CL01486,Vertex Services,Healthcare,East,Standard,Inbound,17,24,55.9,3,8,2565.79,2024-10-29,0.139,Low,No
CL01487,Nova Industries,Healthcare,Central,Standard,Marketplace,10,12,37.0,7,8,3521.42,2024-04-07,0.535,High,No
CL01488,Pioneer Technologies,Logistics,South,Standard,Inbound,16,6,47.5,4,13,2533.49,2025-08-29,0.389,High,Yes
CL01489,Crest Industries,Healthcare,South,Premium,Marketplace,28,24,78.5,5,14,5143.16,2025-07-15,0.093,Low,Yes
CL01490,Vertex Labs,Retail,West,Standard,Outbound,12,6,53.9,3,8,1212.34,2025-03-08,0.267,Medium,Yes
CL01491,Nova Solutions,Manufacturing,East,Enterprise,Referral,30,36,74.4,7,18,7174.98,2026-02-10,0.031,Low,Yes
CL01492,Crest Industries,Healthcare,South,Standard,Referral,6,12,45.4,5,14,2119.91,2024-10-17,0.424,High,Yes
CL01493,Sky Healthcare,Manufacturing,South,Standard,Inbound,16,12,65.3,1,49,2001.24,2025-12-08,0.294,Medium,Yes
CL01494,Pioneer Services,IT Services,North,Premium,Outbound,9,36,87.9,4,8,3983.53,2024-07-08,0.011,Low,Yes
CL01495,Apex Labs,Finance,Central,Premium,Referral,31,24,81.2,4,21,4266.78,2026-01-24,0.064,Low,Yes
CL01496,Orion Industries,Logistics,North,Premium,Inbound,28,24,82.3,3,1,4986.54,2024-09-24,0.024,Low,Yes
CL01497,Green Networks,Finance,South,Basic,Outbound,25,6,34.7,10,7,1161.31,2025-10-07,0.645,High,No
CL01498,Vertex Logistics,Retail,North,Standard,Referral,34,24,44.0,5,30,2806.67,2024-05-18,0.392,High,No
CL01499,Vertex Industries,Healthcare,South,Standard,Outbound,30,6,50.1,4,21,3103.44,2024-12-21,0.412,High,Yes
CL01500,Omni Logistics,Telecom,West,Enterprise,Event,6,48,77.5,7,6,6541.3,2026-02-01,0.016,Low,Yes
CL01501,Prime Labs,Finance,North,Standard,Outbound,5,12,71.2,5,24,1924.17,2024-10-11,0.207,Medium,Yes
CL01502,Orion Healthcare,Retail,North,Enterprise,Partner,28,12,86.0,7,17,7506.33,2025-09-18,0.076,Low,Yes
CL01503,Blue Healthcare,IT Services,South,Premium,Inbound,28,24,74.5,4,21,5985.69,2025-02-14,0.064,Low,Yes
CL01504,Crest Manufacturing,Healthcare,North,Standard,Inbound,8,6,34.8,5,16,2763.39,2025-05-13,0.696,High,No
CL01505,Blue Labs,Healthcare,North,Premium,Outbound,27,24,43.7,8,17,6742.12,2025-05-08,0.226,Medium,No
CL01506,Prime Systems,Healthcare,West,Enterprise,Outbound,41,24,76.9,7,13,6075.89,2025-04-18,0.048,Low,Yes
CL01507,Pioneer Logistics,Finance,West,Enterprise,Inbound,17,48,86.6,5,18,6480.81,2025-02-13,0.011,Low,No
CL01508,Vertex Technologies,Finance,Central,Basic,Outbound,32,6,38.0,6,9,1057.18,2024-07-15,0.477,High,Yes
CL01509,Prime Enterprises,Finance,West,Standard,Outbound,21,12,77.0,3,27,3296.37,2024-03-06,0.165,Low,Yes
CL01510,Apex Logistics,Education,West,Standard,Referral,16,12,35.0,13,3,2420.3,2025-07-05,0.649,High,No
CL01511,Crest Services,Telecom,North,Basic,Event,16,3,25.5,7,23,1530.72,2025-07-26,0.808,High,No
CL01512,Omni Manufacturing,Logistics,West,Premium,Inbound,35,24,57.0,10,7,4291.84,2025-09-13,0.119,Low,Yes
CL01513,Pioneer Technologies,Construction,West,Enterprise,Inbound,40,24,60.6,5,10,10758.67,2026-01-06,0.051,Low,Yes
CL01514,Quantum Networks,IT Services,West,Standard,Inbound,18,12,62.3,7,15,2622.03,2024-06-24,0.345,Medium,Yes
CL01515,Apex Holdings,Manufacturing,East,Premium,Event,22,24,57.9,9,37,5426.32,2025-12-08,0.45,High,No
CL01516,Pioneer Manufacturing,IT Services,South,Premium,Inbound,49,24,49.4,7,5,7922.36,2024-08-17,0.096,Low,Yes
CL01517,Green Logistics,Logistics,West,Standard,Inbound,13,6,63.7,3,16,2026.05,2025-03-28,0.318,Medium,Yes
CL01518,Blue Services,Energy,West,Basic,Marketplace,14,3,12.9,6,51,1148.67,2024-09-03,0.942,High,No
CL01519,Green Technologies,Manufacturing,Central,Premium,Partner,8,12,50.1,5,10,2605.63,2024-06-07,0.288,Medium,No
CL01520,Omni Enterprises,Energy,North,Enterprise,Referral,28,48,51.5,6,6,9659.58,2024-04-04,0.042,Low,Yes
CL01521,Green Systems,IT Services,South,Premium,Referral,11,12,70.5,10,50,4265.32,2024-11-03,0.498,High,Yes
CL01522,Quantum Networks,Energy,North,Basic,Partner,5,12,36.2,10,0,1236.39,2026-02-05,0.589,High,No
CL01523,Vertex Labs,Healthcare,West,Basic,Event,27,3,60.0,1,15,2134.04,2025-02-05,0.222,Medium,Yes
CL01524,Prime Services,IT Services,North,Basic,Inbound,7,3,52.0,6,25,1579.32,2024-03-25,0.621,High,Yes
CL01525,Omni Networks,Retail,North,Premium,Inbound,6,24,79.3,5,10,3136.17,2025-07-03,0.077,Low,Yes
CL01526,Apex Logistics,Manufacturing,Central,Premium,Inbound,19,12,66.5,9,29,3821.45,2024-07-23,0.397,High,Yes
CL01527,Green Technologies,Manufacturing,North,Basic,Inbound,27,6,24.3,4,27,1018.49,2024-04-09,0.725,High,No
CL01528,Quantum Logistics,Healthcare,West,Enterprise,Partner,46,48,75.5,4,20,8960.02,2025-09-27,0.008,Low,Yes
CL01529,Omni Technologies,Telecom,South,Premium,Referral,32,12,74.1,3,3,4847.08,2025-01-17,0.076,Low,Yes
CL01530,Vertex Enterprises,Finance,West,Premium,Marketplace,18,24,74.4,5,38,6519.08,2026-02-09,0.081,Low,Yes
CL01531,Vertex Holdings,Healthcare,East,Enterprise,Partner,21,24,68.3,3,25,9470.55,2025-08-01,0.116,Low,Yes
CL01532,Pioneer Solutions,Finance,Central,Basic,Inbound,22,3,44.9,13,13,1330.04,2024-09-24,0.834,High,No
CL01533,Sky Holdings,Logistics,Central,Enterprise,Outbound,1,24,63.8,2,18,8699.19,2026-02-12,0.149,Low,Yes
CL01534,Nova Logistics,Manufacturing,North,Basic,Referral,12,12,23.5,4,14,923.99,2025-11-23,0.708,High,Yes
CL01535,Orion Labs,Retail,North,Standard,Inbound,13,6,36.6,9,10,2085.06,2024-10-14,0.668,High,No
CL01536,Apex Enterprises,IT Services,South,Enterprise,Partner,11,48,78.3,10,8,8736.82,2024-09-26,0.022,Low,Yes
CL01537,Green Manufacturing,Manufacturing,West,Enterprise,Inbound,22,24,58.9,7,7,12191.31,2025-02-27,0.086,Low,Yes
CL01538,Crest Healthcare,Logistics,Central,Standard,Inbound,27,6,47.9,3,2,2977.54,2025-03-28,0.25,Medium,Yes
CL01539,Apex Solutions,Manufacturing,South,Premium,Inbound,12,24,73.8,4,8,4348.88,2025-04-24,0.042,Low,Yes
CL01540,Vertex Healthcare,Finance,East,Premium,Event,13,24,53.7,6,19,5325.77,2024-08-03,0.119,Low,Yes
CL01541,Orion Manufacturing,Logistics,North,Enterprise,Referral,6,36,68.9,8,11,10506.01,2024-04-06,0.049,Low,Yes
CL01542,Quantum Labs,IT Services,West,Basic,Inbound,3,6,41.9,10,72,1322.56,2025-03-28,0.949,High,No
CL01543,Sky Labs,Finance,Central,Premium,Partner,7,36,69.0,7,12,5755.02,2025-05-14,0.05,Low,Yes
CL01544,Blue Enterprises,Manufacturing,South,Standard,Inbound,8,6,45.0,13,30,2209.67,2026-01-26,0.806,High,No
CL01545,Apex Labs,Construction,East,Standard,Inbound,19,24,56.4,7,71,2276.41,2025-03-29,0.659,High,No
CL01546,Vertex Services,Retail,North,Standard,Inbound,21,24,57.1,4,12,2912.39,2024-06-20,0.212,Medium,Yes
CL01547,Nova Services,Telecom,East,Standard,Marketplace,51,12,68.7,8,18,3409.28,2024-10-08,0.16,Low,No
CL01548,Sky Labs,Finance,East,Enterprise,Referral,56,36,75.0,6,29,5943.56,2024-04-04,0.03,Low,Yes
CL01549,Orion Healthcare,IT Services,North,Premium,Inbound,53,24,61.8,2,22,4771.59,2024-03-09,0.043,Low,Yes
CL01550,Orion Labs,Logistics,South,Enterprise,Referral,23,36,66.8,5,10,9435.77,2025-02-09,0.039,Low,Yes
CL01551,Green Labs,Construction,South,Basic,Referral,33,6,35.7,9,48,979.99,2025-06-24,0.896,High,No
CL01552,Quantum Holdings,Finance,East,Premium,Inbound,20,12,61.5,4,7,6172.39,2026-01-21,0.178,Low,Yes
CL01553,Prime Technologies,Telecom,East,Premium,Referral,31,24,60.2,4,10,3476.39,2025-06-03,0.077,Low,Yes
CL01554,Sky Logistics,Energy,North,Premium,Marketplace,9,12,55.6,4,24,3553.23,2024-07-08,0.304,Medium,No
CL01555,Pioneer Holdings,Manufacturing,West,Premium,Marketplace,16,24,54.8,2,3,2025.18,2025-12-20,0.065,Low,Yes
CL01556,Prime Enterprises,Manufacturing,West,Premium,Outbound,26,12,65.4,5,5,3838.88,2025-11-30,0.122,Low,No
CL01557,Blue Logistics,Finance,South,Enterprise,Inbound,18,12,59.0,7,12,5720.26,2024-12-20,0.287,Medium,Yes
CL01558,Sky Networks,Retail,North,Enterprise,Inbound,5,24,75.6,7,15,10571.03,2025-03-14,0.126,Low,Yes
CL01559,Nova Services,Telecom,West,Basic,Event,14,12,48.1,3,44,2150.66,2025-02-25,0.658,High,No
CL01560,Sky Holdings,Energy,Central,Enterprise,Inbound,39,24,64.0,6,6,6869.04,2025-01-13,0.065,Low,Yes
CL01561,Vertex Holdings,Healthcare,South,Standard,Referral,25,12,75.1,4,21,2404.63,2024-10-24,0.161,Low,Yes
CL01562,Blue Technologies,Manufacturing,South,Standard,Partner,41,6,51.2,8,30,2502.26,2026-02-16,0.431,High,No
CL01563,Apex Healthcare,Education,North,Enterprise,Partner,12,24,51.3,8,7,5666.27,2025-12-21,0.248,Medium,Yes
CL01564,Vertex Services,Manufacturing,East,Standard,Inbound,23,6,47.6,4,0,2698.73,2024-10-27,0.34,Medium,No
CL01565,Omni Industries,Telecom,North,Premium,Marketplace,9,12,67.8,1,7,4428.75,2025-05-20,0.065,Low,Yes
CL01566,Prime Logistics,Retail,South,Standard,Marketplace,9,12,55.4,2,11,1624.4,2024-04-29,0.231,Medium,Yes
CL01567,Crest Healthcare,Logistics,West,Basic,Inbound,23,6,34.9,5,13,1321.89,2025-08-24,0.537,High,Yes
CL01568,Orion Technologies,IT Services,East,Standard,Inbound,15,6,43.9,3,9,3052.8,2025-11-03,0.56,High,No
CL01569,Prime Systems,Logistics,South,Basic,Marketplace,30,6,24.9,4,16,714.71,2025-02-01,0.583,High,Yes
CL01570,Vertex Holdings,Retail,South,Premium,Outbound,29,36,54.2,3,14,3737.19,2024-04-22,0.065,Low,Yes
CL01571,Vertex Technologies,Finance,East,Standard,Outbound,20,6,47.3,10,32,2518.55,2025-04-27,0.744,High,No
CL01572,Crest Labs,Manufacturing,North,Standard,Referral,6,6,37.4,9,33,2610.61,2024-04-07,0.736,High,Yes
CL01573,Sky Logistics,Education,North,Basic,Event,3,6,24.2,3,5,1444.41,2025-10-14,0.762,High,Yes
